game_id,season,game,opp_id,opp_name,conference,division,city,state,talons_score,opp_score,home_away,margin,win_loss,games_above_500,record,percentage
cht_2029_1,2029,1,BOS,Celtics,Eastern,Atlantic,Boston,Massachusetts,124,105,A,19,win,1,1 W 0 L,1.0
cht_2029_2,2029,2,WAS,Wizards,Eastern,Southeast,Charlotte,North Carolina,148,67,H,81,win,2,2 W 0 L,1.0
cht_2029_3,2029,3,SAS,Spurs,Western,Southwest,Charlotte,North Carolina,150,76,H,74,win,3,3 W 0 L,1.0
cht_2029_4,2029,4,CHA,Hornets,Eastern,Southeast,Charlotte,North Carolina,145,108,H,37,win,4,4 W 0 L,1.0
cht_2029_5,2029,5,MIA,Heat,Eastern,Southeast,Charlotte,North Carolina,143,83,H,60,win,5,5 W 0 L,1.0
cht_2029_6,2029,6,CLE,Cavaliers,Eastern,Central,Cleveland,Ohio,112,91,A,21,win,6,6 W 0 L,1.0
cht_2029_7,2029,7,BAL,Barons,Eastern,Atlantic,Charlotte,North Carolina,140,105,H,35,win,7,7 W 0 L,1.0
cht_2029_8,2029,8,UTA,Jazz,Western,Pacific,Salt Lake City,Utah,108,90,A,18,win,8,8 W 0 L,1.0
cht_2029_9,2029,9,GSW,Warriors,Western,Pacific,San Francisco,California,105,114,A,-9,loss,7,8 W 1 L,0.889
cht_2029_10,2029,10,CLE,Cavaliers,Eastern,Central,Charlotte,North Carolina,114,91,H,23,win,8,9 W 1 L,0.9
cht_2029_11,2029,11,VIR,Storm,Eastern,Southeast,Charlotte,North Carolina,118,77,H,41,win,9,10 W 1 L,0.909
cht_2029_12,2029,12,MIL,Bucks,Western,Northwest,Charlotte,North Carolina,106,100,H,6,win,10,11 W 1 L,0.917
cht_2029_13,2029,13,SAS,Spurs,Western,Southwest,San Antonio,Texas,122,90,A,32,win,11,12 W 1 L,0.923
cht_2029_14,2029,14,VIR,Storm,Eastern,Southeast,Richmond,Virginia,125,99,A,26,win,12,13 W 1 L,0.929
cht_2029_15,2029,15,SAC,Kings,Western,Pacific,Charlotte,North Carolina,111,82,H,29,win,13,14 W 1 L,0.933
cht_2029_16,2029,16,PHI,76ers,Eastern,Atlantic,Philadelphia,Pennsylvania,118,93,A,25,win,14,15 W 1 L,0.938
cht_2029_17,2029,17,MIA,Heat,Eastern,Southeast,Charlotte,North Carolina,128,89,H,39,win,15,16 W 1 L,0.941
cht_2029_18,2029,18,ATL,Hawks,Eastern,Southeast,Atlanta,Georgia,111,95,A,16,win,16,17 W 1 L,0.944
cht_2029_19,2029,19,DAL,Mavericks,Western,Southwest,Charlotte,North Carolina,119,102,H,17,win,17,18 W 1 L,0.947
cht_2029_20,2029,20,DET,Pistons,Eastern,Central,Charlotte,North Carolina,115,108,H,7,win,18,19 W 1 L,0.95
cht_2029_21,2029,21,NYK,Knicks,Eastern,Atlantic,Charlotte,North Carolina,122,103,H,19,win,19,20 W 1 L,0.952
cht_2029_22,2029,22,MIL,Bucks,Western,Northwest,Milwaukee,Wisconsin,110,92,A,18,win,20,21 W 1 L,0.955
cht_2029_23,2029,23,OKC,Thunder,Western,Southwest,Charlotte,North Carolina,85,81,H,4,win,21,22 W 1 L,0.957
cht_2029_24,2029,24,ORL,Magic,Eastern,Southeast,Charlotte,North Carolina,109,94,H,15,win,22,23 W 1 L,0.958
cht_2029_25,2029,25,ORL,Magic,Eastern,Southeast,Orlando,Florida,112,110,A,2,win,23,24 W 1 L,0.96
