season,game,opponent,home/away,talons score,opp score
2039,1,UTA Jazz,A,111,86
2039,2,IND Pacers,H,99,74
2039,3,CHI Bulls,A,97,93
2039,4,VIR Storm,A,94,96
2039,5,MIA Heat,H,128,109
2039,6,NY Knicks,A,91,120
2039,7,BKN Nets,H,94,89
2039,8,MEM Grizzlies,A,133,93
2039,9,ATL Hawks,A,89,84
2039,10,OKC Thunder,H,112,130
2039,11,PHX Suns,H,92,99
2039,12,DEN Nuggets,A,105,103
2039,13,BAL Barons,A,79,107
2039,14,SAC Kings,A,104,103
2039,15,NAS Stars,A,124,70
2039,16,DET Pistons,H,138,85
2039,17,NY Knicks,H,91,94
2039,18,WAS Wizards,H,88,73
2039,19,HOU Rockets,A,100,127
2039,20,NOLA Pelicans,H,115,104
2039,21,BKN Nets,H,103,92
2039,22,NY Knicks,H,115,108
2039,23,MIN Timberwolves,H,99,90
2039,24,BOS Celtics,H,115,102
2039,25,PHX Suns,A,93,95
2039,26,HOU Rockets,H,118,100
2039,27,IND Pacers,A,94,101
2039,28,LA Clippers,A,86,105
2039,29,CLE Cavaliers,A,95,98
2039,30,GS Warriors,H,98,79
2039,31,ORL Magic,H,117,120
2039,32,MEM Grizzlies,H,113,86
2039,33,TOR Raptors,H,92,112
2039,34,DET Pistons,A,92,99
2039,35,PHI 76ers,A,88,92
2039,36,SAC Kings,H,103,82
2039,37,MIL Bucks,A,96,93
2039,38,MIN Timberwolves,A,104,88
2039,39,BOS Celtics,A,90,119
2039,40,OKC Thunder,A,93,103
2039,41,DAL Mavericks,A,106,88
2039,42,NAS Stars,H,120,99
2039,43,ORL Magic,A,107,98
2039,44,BAL Barons,H,104,88
2039,45,VIR Storm,A,127,95
2039,46,STL Sound,A,114,87
2039,47,CHI Bulls,H,96,90
2039,48,GS Warriors,A,107,88
2039,49,MIA Heat,A,98,84
2039,50,TOR Raptors,A,98,88
2039,51,PHI 76ers,H,122,92
2039,52,KC Knights,A,85,92
2039,53,NY Knicks,A,97,88
2039,54,NOLA Pelicans,A,107,89
2039,55,WAS Wizards,A,106,98
2039,56,BKN Nets,A,109,84
2039,57,PHI 76ers,H,105,86
2039,58,VIR Storm,H,121,133
2039,59,UTA Jazz,H,114,98
2039,60,BOS Celtics,H,117,92
2039,61,LA Lakers,A,105,86
2039,62,ATL Hawks,H,131,113
2039,63,BKN Nets,A,112,88
2039,64,BOS Celtics,A,123,94
2039,65,SAN Spurs,H,92,82
2039,66,BAL Barons,A,93,89
2039,67,DEN Nuggets,H,94,93
2039,68,SAN Spurs,A,99,106
2039,69,DET Pistons,H,130,90
2039,70,CHA Hornets,H,113,109
2039,71,BAL Barons,H,100,93
2039,72,LA Lakers,H,125,101
2039,73,LA Clippers,H,102,87
2039,74,POR Blazers,H,113,116
2039,75,PHI 76ers,A,113,94
2039,76,KC Knights,H,104,94
2039,77,DAL Mavericks,H,125,95
2039,78,CLE Cavaliers,H,115,95
2039,79,STL Sound,H,117,115
2039,80,POR Blazers,A,117,113
2039,81,CHA Hornets,A,119,102
2039,82,MIL Bucks,H,79,100
