season,game,opp_id,opp_name,home/away,talons score,opp score,conference,division,city,state
2043,1,BOS,Celtics,A,148,102,Eastern,Atlantic,Boston,Massachusetts
2043,2,SAS,Spurs,H,134,142,Western,Southwest,Charlotte,North Carolina
2043,3,PHI,76ers,H,129,119,Eastern,Atlantic,Charlotte,North Carolina
2043,4,CHA,Hornets,A,125,138,Eastern,Southeast,Charlotte,North Carolina
2043,5,MIA,Heat,H,123,131,Eastern,Southeast,Charlotte,North Carolina
2043,6,CLE,Cavaliers,H,138,141,Eastern,Central,Charlotte,North Carolina
2043,7,HOU,Rockets,H,125,112,Western,Southwest,Charlotte,North Carolina
2043,8,POR,Blazers,A,144,111,Western,Northwest,Portland,Oregon
2043,9,WAS,Wizards,H,134,116,Eastern,Southeast,Charlotte,North Carolina
2043,10,LAL,Lakers,A,141,126,Western,Pacific,Los Angeles,California
2043,11,NOLA,Pelicans,A,121,102,Western,Southwest,New Orleans,Louisiana
2043,12,NYK,Knicks,A,154,105,Eastern,Atlantic,New York City,New York
2043,13,LAL,Lakers,H,142,109,Western,Pacific,Charlotte,North Carolina
2043,14,OKC,Thunder,H,123,119,Western,Southwest,Charlotte,North Carolina
2043,15,PHI,76ers,A,142,120,Eastern,Atlantic,Philadelphia,Pennsylvania
2043,16,UTA,Jazz,H,144,113,Western,Pacific,Charlotte,North Carolina
2043,17,CLE,Cavaliers,H,131,108,Eastern,Central,Charlotte,North Carolina
2043,18,MIA,Heat,A,117,123,Eastern,Southeast,Miami,Florida
2043,19,DET,Pistons,H,120,102,Eastern,Central,Charlotte,North Carolina
2043,20,VIR,Storm,A,118,145,Eastern,Southeast,Richmond,Virginia
2043,21,ORL,Magic,A,157,134,Eastern,Southeast,Orlando,Florida
2043,22,BOS,Celtics,H,140,106,Eastern,Atlantic,Charlotte,North Carolina
2043,23,WAS,Wizards,A,145,137,Eastern,Southeast,Washington,District of Columbia
2043,24,MEM,Grizzlies,H,156,145,Western,Southwest,Charlotte,North Carolina
2043,25,BKN,Nets,H,125,120,Eastern,Atlantic,Charlotte,North Carolina
2043,26,DEN,Nuggets,H,146,119,Western,Northwest,Charlotte,North Carolina
2043,27,KCK,Knights,H,133,142,Western,Northwest,Charlotte,North Carolina
2043,28,GSW,Warriors,A,149,119,Western,Pacific,San Francisco,California
2043,29,BAL,Barons,H,115,134,Eastern,Atlantic,Charlotte,North Carolina
2043,30,TOR,Raptors,A,158,95,Eastern,Atlantic,Toronto,Canada
2043,31,SAC,Kings,A,135,103,Western,Pacific,Sacramento,California
2043,32,CHA,Hornets,H,131,112,Eastern,Southeast,Charlotte,North Carolina
2043,33,NAS,Stars,A,124,112,Eastern,Central,Nashville,Tennessee
2043,34,BAL,Barons,A,124,132,Eastern,Atlantic,Baltimore,Maryland
