season,game,opp_id,opp_name,home_away,talons_score,opp_score,conference,division,city,state
2020,1,PHX,Suns,H,105,116,Western,Pacific,Nashville,Tennessee
2020,2,LAC,Clippers,H,103,86,Western,Pacific,Nashville,Tennessee
2020,3,MIL,Bucks,A,98,124,Western,Northwest,Milwaukee,Wisconsin
2020,4,NYK,Knicks,H,112,103,Eastern,Atlantic,Nashville,Tennessee
2020,5,HOU,Rockets,H,138,110,Western,Southwest,Nashville,Tennessee
2020,6,LOU,Liberty,A,120,126,Eastern,Central,Louisville,Kentucky
2020,7,IND,Pacers,H,118,122,Eastern,Central,Nashville,Tennessee
2020,8,UTA,Jazz,A,139,83,Western,Pacific,Salt Lake City,Utah
2020,9,STL,Sound,A,129,92,Western,Northwest,St. Louis,Missouri
2020,10,HOU,Rockets,A,113,110,Western,Southwest,Houston,Texas
2020,11,DET,Pistons,H,103,77,Eastern,Central,Nashville,Tennessee
2020,12,DAL,Mavericks,H,112,88,Western,Southwest,Nashville,Tennessee
2020,13,BAL,Barons,A,116,88,Eastern,Atlantic,Baltimore,Maryland
2020,14,BOS,Celtics,H,135,109,Eastern,Atlantic,Nashville,Tennessee
2020,15,CHA,Hornets,A,124,111,Eastern,Southeast,Charlotte,North Carolina
2020,16,CHI,Bulls,A,114,96,Eastern,Central,Chicago,Illinois
2020,17,PHI,76ers,H,130,117,Eastern,Atlantic,Nashville,Tennessee
2020,18,LAL,Lakers,H,129,117,Western,Pacific,Nashville,Tennessee
2020,19,ORL,Magic,H,109,93,Eastern,Southeast,Nashville,Tennessee
2020,20,CHA,Hornets,H,135,115,Eastern,Southeast,Nashville,Tennessee
2020,21,MEM,Grizzlies,A,129,92,Western,Southwest,Memphis,Tennessee
2020,22,POR,Blazers,A,138,111,Western,Northwest,Portland,Oregon
2020,23,CLE,Cavaliers,A,97,111,Eastern,Central,Cleveland,Ohio
2020,24,SAC,Kings,A,98,101,Western,Pacific,Sacramento,California
2020,25,CHI,Bulls,H,107,106,Eastern,Central,Nashville,Tennessee
2020,26,CHI,Bulls,A,97,108,Eastern,Central,Chicago,Illinois
2020,27,OKC,Thunder,H,106,100,Western,Southwest,Nashville,Tennessee
2020,28,VCR,Ravens,A,115,90,Western,Northwest,Vancouver,Canada
2020,29,BKN,Nets,A,116,102,Eastern,Atlantic,Brooklyn,New York
2020,30,NYK,Knicks,A,146,103,Eastern,Atlantic,New York City,New York
2020,31,SAN,Spurs,H,121,107,Western,Southwest,Nashville,Tennessee
2020,32,VIR,Storm,A,110,114,Eastern,Southeast,Richmond,Virginia
2020,33,LOU,Liberty,A,126,109,Eastern,Central,Louisville,Kentucky
2020,34,CLE,Cavaliers,H,139,150,Eastern,Central,Nashville,Tennessee
2020,35,WAS,Wizards,A,91,113,Eastern,Southeast,Washington,District of Columbia
2020,36,LOU,Liberty,H,118,91,Eastern,Central,Nashville,Tennessee
2020,37,POR,Blazers,H,122,120,Western,Northwest,Nashville,Tennessee
2020,38,DEN,Nuggets,H,142,110,Western,Northwest,Nashville,Tennessee
2020,39,MIL,Bucks,H,106,132,Western,Northwest,Nashville,Tennessee
2020,40,TOR,Raptors,H,135,86,Eastern,Atlantic,Nashville,Tennessee
2020,41,MIA,Heat,H,109,104,Eastern,Southeast,Nashville,Tennessee
2020,42,DAL,Mavericks,A,115,108,Western,Southwest,Dallas,Texas
2020,43,OKC,Thunder,A,112,117,Western,Southwest,Oklahoma City,Oklahoma
2020,44,DEN,Nuggets,A,96,111,Western,Northwest,Denver,Colorado
2020,45,BOS,Celtics,A,104,115,Eastern,Atlantic,Boston,Massachusetts
2020,46,VIR,Storm,H,98,107,Eastern,Southeast,Nashville,Tennessee
2020,47,ORL,Magic,H,116,133,Eastern,Southeast,Nashville,Tennessee
2020,48,LAC,Clippers,A,107,81,Western,Pacific,Los Angeles,California
2020,49,BAL,Barons,H,123,98,Eastern,Atlantic,Nashville,Tennessee
2020,50,CHI,Bulls,H,138,102,Eastern,Central,Nashville,Tennessee
2020,51,SAN,Spurs,A,127,126,Western,Southwest,San Antonio,Texas
2020,52,PHX,Suns,A,103,111,Western,Pacific,Phoenix,Arizona
2020,53,DET,Pistons,H,132,117,Eastern,Central,Nashville,Tennessee
2020,54,MIA,Heat,A,104,103,Eastern,Southeast,Miami,Florida
2020,55,DET,Pistons,A,98,107,Eastern,Central,Detroit,Michigan
2020,56,BKN,Nets,H,114,93,Eastern,Atlantic,Nashville,Tennessee
2020,57,MEM,Grizzlies,H,119,103,Western,Southwest,Nashville,Tennessee
2020,58,STL,Sound,H,114,117,Western,Northwest,Nashville,Tennessee
2020,59,DET,Pistons,A,132,119,Eastern,Central,Detroit,Michigan
2020,60,GSW,Warriors,A,113,103,Western,Pacific,San Francisco,California
2020,61,UTA,Jazz,H,119,85,Western,Pacific,Nashville,Tennessee
2020,62,WAS,Wizards,H,124,106,Eastern,Southeast,Nashville,Tennessee
2020,63,NOLA,Pelicans,A,120,119,Western,Southwest,New Orleans,Louisiana
2020,64,PHI,76ers,A,116,108,Eastern,Atlantic,Philadelphia,Pennsylvania
2020,65,ATL,Hawks,A,128,109,Eastern,Southeast,Atlanta,Georgia
2020,66,GSW,Warriors,H,123,116,Western,Pacific,Nashville,Tennessee
2020,67,IND,Pacers,A,118,112,Eastern,Central,Indianapolis,Indiana
2020,68,BAL,Barons,A,98,95,Eastern,Atlantic,Baltimore,Maryland
2020,69,MIN,Timberwolves,H,115,100,Western,Northwest,Nashville,Tennessee
2020,70,ORL,Magic,A,110,122,Eastern,Southeast,Orlando,Florida
2020,71,ATL,Hawks,H,133,113,Eastern,Southeast,Nashville,Tennessee
2020,72,CLE,Cavaliers,A,135,123,Eastern,Central,Cleveland,Ohio
2020,73,IND,Pacers,A,120,105,Eastern,Central,Indianapolis,Indiana
2020,74,LOU,Liberty,H,120,92,Eastern,Central,Nashville,Tennessee
2020,75,TOR,Raptors,A,106,98,Eastern,Atlantic,Toronto,Canada
2020,76,CLE,Cavaliers,H,120,100,Eastern,Central,Nashville,Tennessee
2020,77,LAL,Lakers,A,117,104,Western,Pacific,Los Angeles,California
2020,78,IND,Pacers,H,142,95,Eastern,Central,Nashville,Tennessee
2020,79,NOLA,Pelicans,H,129,119,Western,Southwest,Nashville,Tennessee
2020,80,SAC,Kings,H,133,131,Western,Pacific,Nashville,Tennessee
2020,81,VCR,Ravens,H,110,105,Western,Northwest,Nashville,Tennessee
2020,82,MIN,Timberwolves,A,116,114,Western,Northwest,Minnenapolis,Minnesota
