game_id,season,game,opp_id,opp_name,home_away,team_score,opp_score,conference,division,city,state,margin,win_loss,games_above_500,record,percentage
nas_2025_1,2025,1,NOLA,Pelicans,H,131,94,Western,Southwest,Nashville,Tennessee,37,win,1,1 W 0 L,1.0
nas_2025_2,2025,2,LOU,Liberty,H,124,88,Eastern,Central,Nashville,Tennessee,36,win,2,2 W 0 L,1.0
nas_2025_3,2025,3,OKC,Thunder,H,112,101,Western,Southwest,Nashville,Tennessee,11,win,3,3 W 0 L,1.0
nas_2025_4,2025,4,BKN,Nets,A,120,105,Eastern,Atlantic,Brooklyn,New York,15,win,4,4 W 0 L,1.0
nas_2025_5,2025,5,DET,Pistons,H,123,121,Eastern,Central,Nashville,Tennessee,2,win,5,5 W 0 L,1.0
nas_2025_6,2025,6,UTA,Jazz,H,112,110,Western,Pacific,Nashville,Tennessee,2,win,6,6 W 0 L,1.0
nas_2025_7,2025,7,GSW,Warriors,A,120,93,Western,Pacific,San Francisco,California,27,win,7,7 W 0 L,1.0
nas_2025_8,2025,8,OKC,Thunder,A,122,102,Western,Southwest,Oklahoma City,Oklahoma,20,win,8,8 W 0 L,1.0
nas_2025_9,2025,9,HOU,Rockets,H,99,122,Western,Southwest,Nashville,Tennessee,-23,loss,7,8 W 1 L,0.889
nas_2025_10,2025,10,VCR,Ravens,A,132,128,Western,Northwest,Vancouver,Canada,4,win,8,9 W 1 L,0.9
nas_2025_11,2025,11,VIR,Storm,H,109,96,Eastern,Southeast,Nashville,Tennessee,13,win,9,10 W 1 L,0.909
nas_2025_12,2025,12,NYK,Knicks,H,125,67,Eastern,Atlantic,Nashville,Tennessee,58,win,10,11 W 1 L,0.917
nas_2025_13,2025,13,LAL,Lakers,A,114,106,Western,Pacific,Los Angeles,California,8,win,11,12 W 1 L,0.923
nas_2025_14,2025,14,LAC,Clippers,H,123,97,Western,Pacific,Nashville,Tennessee,26,win,12,13 W 1 L,0.929
nas_2025_15,2025,15,WAS,Wizards,A,110,92,Eastern,Southeast,Washington,District of Columbia,18,win,13,14 W 1 L,0.933
nas_2025_16,2025,16,PHI,76ers,H,112,127,Eastern,Atlantic,Nashville,Tennessee,-15,loss,12,14 W 2 L,0.875
nas_2025_17,2025,17,MEM,Grizzlies,A,100,108,Western,Southwest,Memphis,Tennessee,-8,loss,11,14 W 3 L,0.824
nas_2025_18,2025,18,MIA,Heat,A,126,107,Eastern,Southeast,Miami,Florida,19,win,12,15 W 3 L,0.833
nas_2025_19,2025,19,LAC,Clippers,A,132,106,Western,Pacific,Los Angeles,California,26,win,13,16 W 3 L,0.842
nas_2025_20,2025,20,BOS,Celtics,H,117,110,Eastern,Atlantic,Nashville,Tennessee,7,win,14,17 W 3 L,0.85
nas_2025_21,2025,21,CHI,Bulls,A,96,89,Eastern,Central,Chicago,Illinois,7,win,15,18 W 3 L,0.857
nas_2025_22,2025,22,CHA,Hornets,H,124,110,Eastern,Southeast,Nashville,Tennessee,14,win,16,19 W 3 L,0.864
nas_2025_23,2025,23,BAL,Barons,H,124,97,Eastern,Atlantic,Nashville,Tennessee,27,win,17,20 W 3 L,0.87
nas_2025_24,2025,24,NYK,Knicks,A,130,97,Eastern,Atlantic,New York City,New York,33,win,18,21 W 3 L,0.875
nas_2025_25,2025,25,CHI,Bulls,H,129,105,Eastern,Central,Nashville,Tennessee,24,win,19,22 W 3 L,0.88
nas_2025_26,2025,26,LAL,Lakers,H,119,102,Western,Pacific,Nashville,Tennessee,17,win,20,23 W 3 L,0.885
nas_2025_27,2025,27,MEM,Grizzlies,H,121,102,Western,Southwest,Nashville,Tennessee,19,win,21,24 W 3 L,0.889
nas_2025_28,2025,28,UTA,Jazz,A,117,97,Western,Pacific,Salt Lake City,Utah,20,win,22,25 W 3 L,0.893
nas_2025_29,2025,29,CHI,Bulls,H,97,116,Eastern,Central,Nashville,Tennessee,-19,loss,21,25 W 4 L,0.862
nas_2025_30,2025,30,DET,Pistons,A,94,108,Eastern,Central,Detroit,Michigan,-14,loss,20,25 W 5 L,0.833
nas_2025_31,2025,31,DET,Pistons,H,119,111,Eastern,Central,Nashville,Tennessee,8,win,21,26 W 5 L,0.839
nas_2025_32,2025,32,SAN,Spurs,H,110,104,Western,Southwest,Nashville,Tennessee,6,win,22,27 W 5 L,0.844
nas_2025_33,2025,33,POR,Blazers,A,100,97,Western,Northwest,Portland,Oregon,3,win,23,28 W 5 L,0.848
nas_2025_34,2025,34,CLE,Cavaliers,H,100,87,Eastern,Central,Nashville,Tennessee,13,win,24,29 W 5 L,0.853
nas_2025_35,2025,35,CLE,Cavaliers,A,119,98,Eastern,Central,Cleveland,Ohio,21,win,25,30 W 5 L,0.857
nas_2025_36,2025,36,CHA,Hornets,A,89,94,Eastern,Southeast,Charlotte,North Carolina,-5,loss,24,30 W 6 L,0.833
nas_2025_37,2025,37,BKN,Nets,H,123,85,Eastern,Atlantic,Nashville,Tennessee,38,win,25,31 W 6 L,0.838
nas_2025_38,2025,38,TOR,Raptors,H,132,115,Eastern,Atlantic,Nashville,Tennessee,17,win,26,32 W 6 L,0.842
nas_2025_39,2025,39,TOR,Raptors,A,112,130,Eastern,Atlantic,Toronto,Canada,-18,loss,25,32 W 7 L,0.821
nas_2025_40,2025,40,BAL,Barons,A,131,79,Eastern,Atlantic,Baltimore,Maryland,52,win,26,33 W 7 L,0.825
nas_2025_41,2025,41,SAC,Kings,H,113,82,Western,Pacific,Nashville,Tennessee,31,win,27,34 W 7 L,0.829
nas_2025_42,2025,42,MIA,Heat,H,140,83,Eastern,Southeast,Nashville,Tennessee,57,win,28,35 W 7 L,0.833
nas_2025_43,2025,43,WAS,Wizards,H,107,104,Eastern,Southeast,Nashville,Tennessee,3,win,29,36 W 7 L,0.837
nas_2025_44,2025,44,VCR,Ravens,H,123,131,Western,Northwest,Nashville,Tennessee,-8,loss,28,36 W 8 L,0.818
nas_2025_45,2025,45,IND,Pacers,A,107,106,Eastern,Central,Indianapolis,Indiana,1,win,29,37 W 8 L,0.822
nas_2025_46,2025,46,PHX,Suns,A,108,107,Western,Pacific,Phoenix,Arizona,1,win,30,38 W 8 L,0.826
nas_2025_47,2025,47,DET,Pistons,A,116,125,Eastern,Central,Detroit,Michigan,-9,loss,29,38 W 9 L,0.809
nas_2025_48,2025,48,IND,Pacers,H,133,107,Eastern,Central,Nashville,Tennessee,26,win,30,39 W 9 L,0.812
nas_2025_49,2025,49,DEN,Nuggets,A,124,118,Western,Northwest,Denver,Colorado,6,win,31,40 W 9 L,0.816
nas_2025_50,2025,50,STL,Sound,H,136,83,Western,Northwest,Nashville,Tennessee,53,win,32,41 W 9 L,0.82
nas_2025_51,2025,51,PHI,76ers,A,93,92,Eastern,Atlantic,Philadelphia,Pennsylvania,1,win,33,42 W 9 L,0.824
nas_2025_52,2025,52,ORL,Magic,A,109,100,Eastern,Southeast,Orlando,Florida,9,win,34,43 W 9 L,0.827
nas_2025_53,2025,53,CLE,Cavaliers,A,92,108,Eastern,Central,Cleveland,Ohio,-16,loss,33,43 W 10 L,0.811
nas_2025_54,2025,54,CLE,Cavaliers,H,115,117,Eastern,Central,Nashville,Tennessee,-2,loss,32,43 W 11 L,0.796
nas_2025_55,2025,55,MIN,Timberwolves,H,129,107,Western,Northwest,Nashville,Tennessee,22,win,33,44 W 11 L,0.8
nas_2025_56,2025,56,MIN,Timberwolves,A,139,109,Western,Northwest,Minnenapolis,Minnesota,30,win,34,45 W 11 L,0.804
nas_2025_57,2025,57,ORL,Magic,H,109,108,Eastern,Southeast,Nashville,Tennessee,1,win,35,46 W 11 L,0.807
nas_2025_58,2025,58,TOR,Raptors,A,119,123,Eastern,Atlantic,Toronto,Canada,-4,loss,34,46 W 12 L,0.793
nas_2025_59,2025,59,POR,Blazers,H,132,77,Western,Northwest,Nashville,Tennessee,55,win,35,47 W 12 L,0.797
nas_2025_60,2025,60,LOU,Liberty,H,117,92,Eastern,Central,Nashville,Tennessee,25,win,36,48 W 12 L,0.8
nas_2025_61,2025,61,LOU,Liberty,A,103,107,Eastern,Central,Louisville,Kentucky,-4,loss,35,48 W 13 L,0.787
nas_2025_62,2025,62,SAC,Kings,A,117,97,Western,Pacific,Sacramento,California,20,win,36,49 W 13 L,0.79
nas_2025_63,2025,63,ATL,Hawks,A,131,113,Eastern,Southeast,Atlanta,Georgia,18,win,37,50 W 13 L,0.794
nas_2025_64,2025,64,LOU,Liberty,A,104,101,Eastern,Central,Louisville,Kentucky,3,win,38,51 W 13 L,0.797
nas_2025_65,2025,65,IND,Pacers,A,116,92,Eastern,Central,Indianapolis,Indiana,24,win,39,52 W 13 L,0.8
nas_2025_66,2025,66,PHX,Suns,H,117,105,Western,Pacific,Nashville,Tennessee,12,win,40,53 W 13 L,0.803
nas_2025_67,2025,67,VIR,Storm,A,124,81,Eastern,Southeast,Richmond,Virginia,43,win,41,54 W 13 L,0.806
